Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
84;Lorenzo il Magnifico;contracts/dice workers/end game boni/open drafting/tableau building/variable set-up/worker placement;claim;fixed turns;90;Renaissance/Italy;2-4 (3);;3;2;8.64;-0.01;3;7.8;7;Flaminia Brasini/Virginio Gigli/Simone Luciani;2016;;bga;5;0
94;WarCry;line of sight/measurement movement/once per game abilities/scenario/three dimensional movement/variable player powers/variable set up;stat based;fixed turns;60;warhammer;2;;2;4;8.63;-0.19;2;8.1;8;Games Workshop;2019;;Christoph;2;
86;Skara Brae;0;0;0;0;0;0;0;0;0;8.58;0;1;0;0;0;0;0;0;0;0
79;Tigris & Euphrates;area majority/chaining/connections/force commitment/hand management/hidden victory points/highest lowest scoring/income/set collection/square grid/take that/tile placement;strict clockwise;running out;120;ancient mesopotamia;2-4 (4);;4;4;8.57;0.06;3;7.7;7;Reiner Knizia;1997;;bga;5;
96;Caper: Europe;area majority/closed drafting/set collection/tug of war;progressive;fixed turns;30;criminals;2;;3;3;8.55;-0.01;16;7.7;7;Unai Rubio;2022;;bga;5;board/cards/tokens
91;Blood on the Clocktower;bluffing/deduction/hidden roles/negotiation/player elimination/prisoners dilemma/rock-paper-scissors/roles with asymmetric information/variable player powers/voting;strict clockwise;player elimination/sudden death;90;horror;5-15 (9);T;3;5;8.53;-0.0;16;8.3;7;Steven Medway;2022;;Linus;25;board/role sheet/tokens
74;Five Tribes: The Djinns of Naqala;auction/constrained bidding/end game boni/hidden victory points/mancala/modular board/set collection/square grid/take that/variable player powers/variable set-up/victory points as a resource;auction;condition;45;oriental;2-4 (2);;3;3;8.53;0.04;7;7.8;7;Bruno Cathala;2014;;bga;3;
69;Dominion;deck, bag and pool building/delayed purchase/hand management/open drafting/take that/variable set-up;strict clockwise;race;30;medieval;2-4 (4);;3;2;8.52;0.02;16;7.6;7;Donald X. Vaccarino;2008;;own;25;cards
90;Furnace;0;0;0;0;0;0;0;0;0;8.51;0;1;0;0;0;0;0;0;0;0
52;Red Outpost;area majority/worker placement;strict clockwise;fixed turns;45;communism;2-4 (3);;3;3;8.47;0.09;9;6.9;7;Raman Hryhoryk;2019;;Jannis;1;
77;Terraforming Mars;closed drafting/contracts/end game boni/hex grid/income/set collection/tableau building/tags/take that/tech tracks/tile placement/variable player powers/variable set-up/victory points as a resource;progressive;condition;120;sciencefiction;1-5 (3);;3;2;8.44;0.02;16;8.4;7;Jacob Fryxelius;2016;;uni game night, bga;6;board/player boards/tokens/cards
87;The Guild of Merchant Explorers;bingo/hex grid/hidden victory points/line drawing/network and route building/pattern movement;simultaneous;fixed turns;45;fantasy/exploration;1-4 (2);;2;1;8.42;0.02;7;7.7;7;Matthew Dunstan/Brett J. Gilbert;2022;;bga;10;
93;Mycelia;deck, bag and pool building/grid movement;strict clockwise;condition;45;fantasycreatures;2-4 (4);;2;2;8.38;0.01;16;7.5;7;Daniel Greiner;2023;;Stefan;1;
60;Bunny Kingdom;area majority/closed drafting/end game boni/grid coverage/square grid;simultaneous;fixed turns;60;fairytales;2-4 (4);;3;3;8.34;0.05;15;7.4;7;Richard Garfield;2017;;bga;5;board/cards/meeple
54;Dead Cells: The Rogue-Lite Board Game;action queue/communication limits/deck, bag and pool building/delayed purchase/market/minimap resolution/multi-use cards/multiple maps/point to point movement/push your luck/role playing/scenario/simultaneous action selection/stat check resolution/tags/track movement/variable phase order/variable player powers/variable set-up/victory points as a resource;variable;player elimination;45;fantasy;1-4 (3);;3;5;8.34;0.39;3;7.6;7;Antoine Bauza/Corentin Lebrat/Ludovic Maublanc/Theo Riviere;2024;;bga;25;
120;Evergreen;bias/end game boni/grid coverage/open drafting;progressive;fixed turns;45;abstract;1-4 (2);;3;1;8.32;-0.02;16;7.5;7;Hjalmar Hach;2022;;bga;6;
88;Wingspan;action queue/end game boni/hand management/once per game abilities/open drafting/set collection/tableau building;progressive;fixed turns;60;animals;1-5 (3);;3;1;8.31;0.02;16;8;7;Elizabeth Hargrave;2019;;uni game night, bga;13;
114;The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game;communication limits/scenario/trick taking;stat based;fixed turns;20;Lord of the Rings;1-4 (4);C;2;4;8.27;-0.17;2;8;7;Bryan Bornmueller;2025;;own;20;cards/tokens
53;El Grande;action drafting/area majority/area movement/auction/hand management/interrupts/memory/open drafting/selection order bid/simultaneous action selection;auction;fixed turns;120;medieval/spain;3-5 (5);;3;3;8.27;0.06;16;7.8;7;Wolfgang Kramer/Richard Ulrich;1995;;own;2;board/cards/meeple
104;Popcorn;0;0;0;0;0;0;0;0;0;8.27;0;1;0;0;0;0;0;0;0;0
107;Hoity Toity;bluffing/rock-paper-scissors/set collection/simultaneous action selection;simultaneous;race;40;victorianage;2-5 (4);;3;2;8.26;-0.0;11;6.5;7;Klaus Teuber;1990;;Jannis;1;
100;Samurai;area majority/hand management/hex grid/once per game abilities/set collection/tile placement;strict clockwise;fixed turns;45;Japan;2-4 (4);;3;3;8.26;0.01;16;7.5;7;Reiner Knizia;1998;;own;10;board/tiles/tokens
83;Port Royal;contracts/events/market/move through deck/open drafting/push your luck/tableau building;strict clockwise;race;30;pirates;2-5 (4);;2;2;8.22;0.03;16;7.1;7;Alexander Pfister;2014;;uni game night;3;cards
123;Crusaders: Thy Will Be Done;action points/area majority/end game boni/grid movement/hex grid/mancala/movement points/rondel/tags/tech tracks/variable player powers/worker placement;strict clockwise;running out;60;medieval/crusades;2-4 (4);;2;2;8.14;-0.05;5;7.5;7;Seth Jaffee;2018;;bga;5;
105;Ancient Knowledge;delayed purchase/end game boni/open drafting/tableau building/tags;strict clockwise;condition;75;archeology;2-4 (2);;3;2;8.12;0.03;6;7.1;7;Remi Mathieu;2023;;bga;5;
92;Galaxy Trucker;events/real time/relative movement/tile placement/track movement;simultaneous;fixed turns;45;science fiction;2-4 (4);;2;3;8.11;0.06;7;7.3;7;Vlaada Chvatil;2007;;Jannis;1;
126;Let's Go! To Japan;closed drafting/set collection/simultaneous action selection/storytelling;simultaneous;fixed turns;45;travelling/Japan;1-4 (3);;2;2;8.07;-0.02;8;7.7;7;Josh Wood;2024;;bga;2;
111;Knarr;hand management/open drafting/set collection;strict clockwise;race;30;Wikings;2-4 (4);;3;2;8.04;0.01;16;7.5;7;Thomas Dupont;2023;;Stefan, bga;11;
102;Tapestry;area majority/contracts/events/grid coverage/hand management/hex grid/income/map addition/open drafting/square grid/tableau building/take that/tech tracks/tile placement/variable player powers/variable set-up;strict clockwise;fixed turns;120;alternativehistory/4X;1-5 (3);;3;2;8.01;0.02;16;7.5;7;Jamey Stegmaier;2019;;bga;3;board/cards/meeple/miniatures/player boards
145;Oceans;hand management/hidden victory points/open drafting/victory points as a resource;strict clockwise;running out;60;oceans;2-4 (3);;3;3;8.0;-0.07;7;7.4;7;Nick Bentley/Dominic Crapuchettes;2020;;Jannis;1;
75;Libertalia;action queue/hand management/selection order bid/set collection/simultaneous action selection/take that/variable phase order;role order;fixed turns;45;pirates;2-6 (6);;3;2;8.0;0.05;16;7.1;7;Paolo Mori;2012;;bga;2;board/cards
89;Hadara;end game boni/memory/open drafting/set collection/simultaneous action selection;simultaneous;fixed turns;60;civilization;2-5 (4);;2;2;7.98;0.27;3;7.4;7;Benjamin Schwer;2019;;bga;0;
164;Railways of the World;action points/connections/end game boni/hex grid/income/loans/network and route building/open drafting/ownership/pick-up and deliver/tile placement;auction;running out;120;railways;2-6 (5);;3;3;7.95;-0.17;5;7.7;7;Glenn Drover/Martin Wallace;2005;;bga;5;
133;Stockpile;auction/betting/commodity speculation/constrained bidding/investment/market/open drafting/stock holding/victory points as a resource;;fixed turns;45;stock market;3-5 (5);;2;3;7.93;-0.07;3;7.4;7;Brett Sobol/Seth Van Orden;2015;;bga;3;0
103;The Pillars of the Earth;different workers/events/market/worker placement;claim;fixed turns;120;medieval;2-4 (4);;2;2;7.93;0.03;12;7.3;7;Michael Rieneck/Stefan Stadler;2006;;own;5;
110;Sheriff of Nottingham;bluffing/bribery/hand management/negotiation/open drafting/role playing/set collection;simultaneous;fixed turns;60;medieval/RobinHood;3-5 (5);;2;5;7.9;0.02;16;7.1;7;Sergio Halaban/Andre Zatz;2014;;Calvin;1;
171;Heat: Pedal to the Metal;catch the leader/deck, bag and pool building/hand management/programmed movement/push your luck/simulation/simultaneous action selection/track movement/variable set-up;strict clockwise;race;60;race/pushyourluck/trackmovement/programmedmovement/catchtheleader/handmanagement/simultaneousactionselection;2-6 (6);;2;2;7.85;-0.05;16;8.1;7;Asger Harding Granerud/Daniel Skjold Pedersen;2022;;bga;2;board/own cards
