Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
285;Eternitium;deck, bag and pool building/race;strict clockwise;race;15;fantasy/abstract;1-4 (2);;2;2;5.19;0.03;3;6.7;6;Thomas Carlier;2024;;bga;5;cards
338;Catan Card Game;hand management/map addition/modular board/open drafting/random production/trading;strict clockwise;race;60;medieval;2;;2;3;5.18;-0.06;16;6.7;6;Klaus Teuber;1996;Anno 1701: Das Kartenspiel;own;50;
289;Pirates Under Fire;0;0;0;0;0;0;0;0;0;5.18;0;1;0;0;0;0;0;0;0;0
284;Dice Forge;deck, bag and pool building/open drafting/random production;strict clockwise;condition;45;magic;2-4 (4);;2;1;5.16;0.01;16;7.2;6;Regis Bonnessee;2017;;bga;3;board/cards/currencies/D6 with removeable faces
300;Scotland Yard;hidden movement/point to point movement/secret unit deployment;strict clockwise;;45;crime/spies;3-6 (5);1 vs. X;2;4;5.15;-0.01;13;6.5;6;Manfred Burggraf/Dorothy Garrels/Wolf Hoermann/Franz Iflanf/Werner Scheerer/Werner Schlegel;1983;;Hubert;1;board/meeple/tokens
313;Dice Throne;re-rolling and locking/take that/variable player powers;strict clockwise;;20;fantasy;2-4 (2);;2;3;5.13;-0.02;16;7.7;6;Nate Chatellier/Aaron Hein/Manny Trembley;2018;;Christoph;1;custom D6/player board
244;Onitama;grid movement/hand management/pattern movement/square grid/static capture;strict clockwise;condition;15;abstract;2;;2;3;5.11;0.05;16;7.4;6;Shimpei Sato;2014;;bga;2;board/cards/meeple
295;Garden Rush;0;0;0;0;0;0;0;0;0;5.08;0;1;0;0;0;0;0;0;0;0
299;The Rose King;area majority/grid movement/hand management/move through deck/pattern building/square grid/tile placement;strict clockwise;condition;30;history/England/abstract;2;;2;3;5.07;-0.01;14;6.8;6;Dirk Henn;1992;;own;20;
316;Inside Job;hidden roles/trick taking/variable player powers/voting;stat based;fixed turns;25;spies;3-5 (5);1 vs. X;2;3;5.04;-0.03;13;7.1;6;Tanner Simmons;2022;;uni game night;3;cards/tokens
329;Mamma Mia!;contracts/hand management/memory;strict clockwise;claim end;30;pizza;2-5 (4);;1;2;5.0;-0.49;2;6.5;6;Uwe Rosenberg;1998;;Bibliothek game night;1;cards
337;Lost Cities;hand management/melding and splaying/ordering/push your luck/score and reset/set collection;stat based;running out;30;adventure;2;;1;2;5.0;-0.04;16;7.2;6;Reiner Knizia;1999;;own;150;
303;Canvas;auction/contracts/hand management/increase value of unchosen resources/layering/open drafting/set collection;strict clockwise;condition;30;art;1-5 (3);;2;1;4.96;-0.0;4;7.2;6;Jeff Chin/Andrew Nerger;2021;;bga;5;
283;Battle Line;card play conflict resolution/hand management/melding and splaying/set collection;strict clockwise;race;20;Scotland;2;;2;3;4.96;0.11;4;7.4;6;Reiner Knizia;1999;;bga;10;
304;Bonsai;0;0;0;0;0;0;0;0;0;4.92;0;1;0;0;0;0;0;0;0;0
344;The Same Game;deduction/communication limits/give a clue, get a clue;strict clockwise;fixed turns;30;abstract;3-6 (5);C;1;4;4.88;-0.06;11;7.2;6;Wolfgang Warsch;2023;;boardgame night;1;
275;Kahuna;area majority/hand management/network and route building/open drafting/take that;strict clockwise;running out;30;abstract;2;;2;3;4.85;0.04;16;6.6;6;Gunter Cornett;1999;;bga;3;cards/board/sticks
281;Heimlich & Co.;hidden roles/random move;strict clockwise;race;30;spies;2-7 (5);;1;3;4.84;0.03;16;6.5;6;Wolfgang Kramer;1984;;own;18;board/cards/custom D6/meeple
239;Kingdomino;open drafting/tile placement;stat based;completion;15;medieval;2-4 (4);;1;2;4.84;0.08;16;7.3;6;Bruno Cathala;2016;;bga;10;tiles
242;Niagara;bias/hand management/pick-up and deliver/set collection/simultaneous action selection/slide;auction;race;45;adventure;3-5 (4);;2;3;4.83;0.08;16;6.5;6;Thomas Liesching;2004;;own;40;game box/meeples/tiles
306;River Valley Glassworks;end game boni/grid coverage/increase value of unchosen resources/map deformation/matching/modular board/open drafting/pattern building/set collection/tile placement;strict clockwise;condition;30;animals;1-4 (2);;1;2;4.82;0.02;5;7.3;6;Adam Hill/Ben Pinchback/Matt Riddle;2024;;bga;3;
397;Applejack;tile placement;strict clockwise;fixed turns;30;farming/apples;1-4 (2);;2;1;4.77;-0.23;7;6.8;6;Uwe Rosenberg;2022;;bga;5;
328;Pili Pili;betting/constraint bidding/hand management/memory/predictive bid/real time/trick taking;stat based;inverse race;30;abstract;3-7 (4);;1;2;4.76;-0.24;2;6.5;6;Ben/JB;2025;;bga;5;
393;Metro;network and route building/take that/tile placement;strict clockwise;completion;30;railroads/metro;2-4 (2);;1;3;4.76;-0.11;13;6.5;6;Dirk Henn;1997;;bga;2;board/meeple/tiles
267;Welcome To...;bingo/contracts/flip and write/paper and pencil/pattern building/simultaneous action selection;simultaneous;condition;15;USA/fifties;2+ (2);;2;1;4.76;0.06;15;7.5;6;Benoit Turpin;2018;Welcome to the Moon;bga;7;cards/pen/writing sheet
224;Hey, That's My Fish!;grid movement/hexagon grid/map reduction/modular board/variable set-up;strict clockwise;running out;20;penguins;2-4 (3);;1;3;4.75;0.5;4;6.7;5;Gunter Cornett/Alvydas Jakeliunas;2003;;bga;3;
327;Junk Drawer;bingo/grid coverage/square grid/tile placement;simultaneous;fixed turns;20;sorting/house;1-4 (3);;1;1;4.73;-0.1;3;6.9;6;David Smith;2023;;bga;3;
291;Point Salad;open drafting/set collection;strict clockwise;condition;20;food/vegetables;2-6 (3);;1;3;4.73;0.05;9;7.1;6;Molly Johnson/Robert Melvin/Shawn Stankewich;2019;;boardgame night;2;cards
317;Expeditions: Around the World;connections/contracts/network and route building/point to point movement/track movement;strict clockwise;race;30;exploration/adventure;2-5 (3);;2;2;4.67;0.0;11;6.7;6;Wolfgang Kramer;1997;;bga;1;
366;Feed the Kraken;acting/bluffing/grid movement/hex grid/player elimination/role playing/roles with asymmetric information/traitor game/variable player powers/voting;auction;condition/player elimination;45;pirates;5-11 (8);T;2;5;4.65;-0.05;16;7.9;6;Maikel Cheney/Dr. Hans Joachim Hoh/Tobias Immich;2022;;own;80;
326;Nova Luna;contracts/tile placement;time track;race;30;abstract;2-4 (2);;1;2;4.65;-0.01;8;7.3;6;Uwe Rosenberg/Corne van Moorsel;2019;;bga;2;
320;Solstis;modular board/pieces as map/tile placement;strict clockwise;running out;15;mountains;2;;1;2;4.65;0.0;5;6.7;6;Bruno Cathala/Corentin Lebrat;2024;;bga;3;
294;Cat in the box;enclosure/hand management/predictive bid/trick taking;stat based;fixed turns;40;cats;3-5 (4);;2;2;4.64;0.04;11;7.5;6;Muneyuki Yokouchi;2022;;bga;5;
274;Boomerang: Europe;closed drafting/flip and write/paper and pencil/set collection;simultaneous;fixed turns;30;travelling;2-4 (4);;2;2;4.64;0.05;16;6.8;6;Scott Almes;2020;;bga;2;cards
321;Yokai Pagoda;0;0;0;0;0;0;0;0;0;4.64;0;1;0;0;0;0;0;0;0;0
362;Buttons;push your luck/set collection;strict clockwise;race;20;abstract;2-4 (2);;1;1;4.63;-0.34;3;5.8;6;Benjamin Schwer;2015;;bga;3;
322;dnup;0;0;0;0;0;0;0;0;0;4.62;0;1;0;0;0;0;0;0;0;0
418;Hidden Leaders;deduction/hand management/hidden roles/take that/track movement/tug of war;strict clockwise;condition;30;fantasy;2-6 (4);;2;3;4.61;-0.13;13;6.8;6;Andreas Muller/Markus Muller/Raphael Stocker;2022;;bga;1;
323;Under the Leaves;0;0;0;0;0;0;0;0;0;4.61;0;1;0;0;0;0;0;0;0;0
354;Draftosaurus;closed drafting/die icon resolution/set collection/simultaneous action selection;progressive;fixed turns;15;dinosaur/zoo;2-5 (4);;1;2;4.57;-0.16;4;7.1;6;Antoine Bauza/Corentin Lebrat/Ludovic Maublanc/Theo Riviere;2019;;bga;5;
214;Tokaido;end game boni/set collection/variable player powers/worker placement;time track;condition;45;travelling/Japan;2-5 (4);;2;2;4.56;0.17;12;6.9;5;Antoine Bauza;2012;;bga;1;board/meeple/cards
314;Top Ten;deduction/ordering/player judge/targeted clues;progressive;variable;30;party;4-9 (7);C;1;5;4.54;0.02;11;7.5;5;Aurelien Picolet;2020;;boardgame night;1;cards/tokens
332;Cacao;area majority/hand management/map addition/tile placement;strict clockwise;running out;45;actecs;2-4 (3);;1;2;4.53;-0.01;6;7.1;5;Phil Walker-Harding;2015;;bga;3;
331;5 Towers;auction/open drafting/set collection/tableau building;progressive;running out;15;abstract;2-5 (4);;1;3;4.49;-0.0;16;6.9;5;Kasper Lapp;2023;;Jannis;2;cards
330;My Gold Mine;player elimination/push your luck;strict clockwise;player elimination/fixed turns;15;dwarves/mining;2-6 (5);;1;2;4.49;-0.0;15;6.9;5;Dr. Hans Joachim Hoh/Michael Loth/Christof Schilling;2021;;Jannis;1;cards
375;Pocket Cats;square grid;strict clockwise;completion;15;cats/abstract;2;;1;4;4.48;-0.75;2;6.1;6;Alexander Aguilar/Romaric Galonnier;2024;;bga;3;
343;boop.;grid movement/pattern building/slide/square grid;strict clockwise;condition;20;abstract;2;;1;3;4.48;-0.01;16;7.1;5;Scott Brady;2022;;bga;8;board/meeple
324;CuBirds;hand management/set collection;progressive;race;15;animals;2-5 (3);;2;1;4.48;0.01;16;6.9;5;Stefan Alexander;2018;;bga;6;
307;Fruit Picking;mancala/race/set collection;strict clockwise;race;15;fruit;2;;1;1;4.47;0.2;3;5.7;5;Jun-ichi Shinde;2020;;bga;3;
292;Stratego;grid movement/memory/secret unit deployment/square grid;strict clockwise;condition;20;war;2;;2;3;4.45;0.04;16;6.1;5;Jacques Johan Mogendorff;1946;;own;15;board/meeple
302;Symbiose;neighbor scope/open drafting/pattern recognition/set collection/square grid;strict clockwise;fixed turns;15;animals;2-4 (3);;1;3;4.44;0.13;5;6.6;5;Jeremy Partinico/Christelle Partinico;2025;;bga;0;
334;Phantom Ink;communication limits/deduction/targeted clues;strict clockwise;fixed turns;15;ghosts;4-8 (6);T;1;4;4.43;-0.0;14;7.4;5;Mary Flanagan/Max Seidman;2022;;Stefan;1;cards/pencil/writing sheets
336;SHOCK (Knights With Poison);0;0;0;0;0;0;0;0;0;4.39;0;1;0;0;0;0;0;0;0;0
383;Among Cultists: A Social Deduction Thriller;action or event/deduction/hidden roles/point to point movement/voting;progressive;condition;90;Amongus;4-8 (8);T;2;5;4.37;-0.06;14;7.4;5;Stefan Godot;2023;;Simon;2;
346;Sagani;connections/line of sight/map addition/matching/open drafting/pattern building/race/square grid/tile placement;strict clockwise;race;30;elements;1-4 (2);;2;2;4.3;-0.02;5;7.1;5;Uwe Rosenberg;2020;;bga;3;
310;Halt mal kurz: Das Knguru-Spiel;rock-paper-scissors/take that/voting;strict clockwise;running out;20;popculture;3-5 (5);;1;3;4.3;0.03;16;5.8;5;Marc-Uwe Kling;2016;;own;50;cards
261;Nimalia;closed drafting/grid coverage/layering/simultaneous action selection/tile placement;simultaneous;fixed turns;25;animals;2-4 (3);;2;2;4.26;0.17;9;7.1;5;William Lievin;2023;;bga;1;
368;Marrakech;area majority/layering/random move/tile placement;strict clockwise;running out;30;Morocco;2-4 (4);;1;4;4.23;-0.05;8;6.7;5;Dominique Ehrhard;2007;;bga;2;
293;You're Bluffing!;auction/betting/hand management/memory/set collection/simultaneous action selection/trading;strict clockwise;fixed turns;45;farming;3-5 (5);;1;4;4.23;0.06;16;6.6;5;Rudiger Koltze;1985;;own;35;cards
319;Twinkle Twinkle;connections/grid coverage/map addition/open drafting/pattern building/set collection/square grid/tile placement/variable set-up;claim;completion;20;sky;1-4 (2);;2;2;4.19;0.16;4;7.1;5;Ammon Anderson;2025;;bga;3;
301;Verdant;increase value of unchosen resources/open drafting/pattern building/set collection/tile placement/variable set-up;strict clockwise;fixed turns;45;plants;1-4 (3);;2;2;4.18;0.2;5;7.3;5;Molly Johnson/Robert Melvin/Aaron Mesburne/Kevin Russ/Shawn Stankewich;2022;;bga;5;
351;Carnuta;0;0;0;0;0;0;0;0;0;4.14;0;1;0;0;0;0;0;0;0;0
379;Diamant;move through deck/push your luck/score and reset/simultaneous action selection;simultaneous;fixed turns;30;adventure/temples;3-8 (6);;1;1;4.13;-0.03;16;6.8;5;Bruno Faidutti/Alan R. Moon;2006;;bga;3;cards
352;Drôles de Zèbres;0;0;0;0;0;0;0;0;0;4.12;0;1;0;0;0;0;0;0;0;0
297;Piepmatz;hand management/open drafting/set collection;strict clockwise;running out;30;birds;2-4 (3);;2;2;4.11;0.47;3;7;5;Ben Pinchback/Matt Riddle;2018;;bga;2;cards
353;YINSH;0;0;0;0;0;0;0;0;0;4.1;0;1;0;0;0;0;0;0;0;0
308;Hanabi;communication limits/hand management/memory/ordering/set collection;strict clockwise;;15;art/firework;2-5 (4);0;2;4;4.09;0.06;14;7;5;Antoine Bauza;2010;;bga;7;cards
365;Game of Thrones: Oathbreaker;hand management/hidden roles/variable player powers;player choice;fixed turns;45;Game of Thrones;5-8 (7);T;2;5;4.08;-0.01;14;7;5;Kevin Spak;2019;;Calvin;1;
309;Qwinto;follow/paper and pencil/pattern building;simultaneous;running out;15;abstract;2-6 (3);;1;2;4.07;0.26;4;7;5;Bernhard Lach/Uwe Rapp;2015;;bga;3;
489;Shadow Hunters;hidden roles/player elimination/variable player powers;strict clockwise;player elimination;60;fantasy/vampires/werewolves;4-8 (7);T;2;4;4.05;-0.25;10;6.8;5;Yasutaka Ikeda;2005;;Thomas;0;
359;INK;contracts/pattern building/rondel/tile placement;stat based;running out;45;abstract;1-4 (3);;2;2;4.05;-0.01;4;6.9;5;Kasper Lapp;2025;;bga;3;
335;Captain Flip;advantage token/end game boni/grid coverage/memory/multiple maps/push your luck/tile placement;strict clockwise;completion;20;pirates;2-4 (2);;1;1;4.04;0.02;16;7;5;Remo Conzadori/Paolo Mori;2024;;bga;7;player boards/tiles
349;Trailblazers;closed drafting/end game boni/hand management/layering/map addition/modular board/network and route building/push your luck/race/set collection/simultaneous action selection/square grid/tile placement;simultaneous;fixed turns;30;outdoor sports;1-8 (3);;2;2;4.0;0.04;5;7;5;Ryan Courtney;2023;;bga;1;
360;Visions;0;0;0;0;0;0;0;0;0;3.99;0;1;0;0;0;0;0;0;0;0
361;Number Drop;0;0;0;0;0;0;0;0;0;3.97;0;1;0;0;0;0;0;0;0;0
382;Haiclue;deduction/give a clue, get a clue/tile placement;simultaneous;fixed turns;30;abstract;2-8 (4);(C);1;4;3.95;-0.16;3;6.1;5;Will Leaf;2019;;bga;10;cards/tiles
386;Belladone Bluff;hand management;strict clockwise;running out;30;abstract;2-4 (4);;1;2;3.92;-0.18;3;5.9;5;Konstantinos/Karagiannis;2023;;bga;5;cards
298;Pictures;communication limits/deduction/image interpretation/pattern recognition;simultaneous;fixed turns;30;art;3-5 (5);0;1;4;3.89;0.13;10;7.2;5;Christian Stohr/Daniela Stohr;2019;;uni game night;;
404;Barenpark;grid coverage/open drafting/set collection/tile placement;strict clockwise;condition;45;zoo;2-4 (4);;2;1;3.88;-0.08;9;7.3;5;Phil Walker-Harding;2017;;bga;3;
333;Risk;area majority/area movement/player elimination/set collection;strict clockwise;player elimination/condition;120;war;2-6 (4);(T);2;3;3.88;0.04;16;5.6;5;Albert Lamorisse/Michael I. Levin;1959;;own;250;board/cards/D6/meeple
402;The Number;;simultaneous;fixed turns;15;abstract;2-5 (4);;1;1;3.87;-0.2;4;6;5;Hisashi Hayashi;2020;;bga;5;
400;Loco Momo;open drafting/pattern building/pattern movement/set collection/square grid/tile placement;strict clockwise;fixed turns;30;animals;1-4 (2);;1;1;3.87;-0.06;10;6.4;5;Lenny Liu/Leon Liu;2020;;bga;3;
487;Unfathomable;area movement/hand management/hidden roles/variable player powers;strict clockwise;condition;240;Lovecraft;3-6 (6);T;4;5;3.86;-0.14;15;7.5;5;Toney Fanchi/Corey Konieczka;2021;;Thomas;1;
318;Forbidden Island;action points/events/grid movement/hand management/map reduction/modular board/pick-up and deliver/set collection/square grid/tile placement/variable player powers;strict clockwise;condition;30;archeology/adventure;1-4 (4);C;2;5;3.86;0.21;5;6.8;5;Matt Leacock;2010;;bga;3;
369;Up or Down?;0;0;0;0;0;0;0;0;0;3.84;0;1;0;0;0;0;0;0;0;0
370;Kalah;0;0;0;0;0;0;0;0;0;3.82;0;1;0;0;0;0;0;0;0;0
358;My Shelfie: The Dice Game;re-rolling and locking/set collection/square grid;strict clockwise;condition;20;home interior;2-4 (2);;1;1;3.8;0.06;5;6.5;5;Simone Luciani;2024;;bga;3;
384;Bag of Chips;hand management/push your luck;simultaneous;fixed turns;10;food;2-5 (4);;1;1;3.79;-0.01;16;6.5;5;Mathieu Aubert/Theo Riviere;2021;;bga;16;bag/cards/chips
341;Taboo;communication limits/give a clue, get a clue;strict clockwise;fixed turns;20;abstract;4+ (4);;1;5;3.79;0.03;16;6.3;5;Brian Hersch;1989;;diverse;20;cards
367;Dixit;give a clue, get a clue/storytelling/targeted clues/voting;progressive;race;30;fantasy;3-6 (5);;1;4;3.78;0.01;16;7.2;5;Jean-Louis Roubira;2008;;uni game night;8;cards
459;Just One;communication limits/give a clue, get a clue/paper and pencil;strict clockwise;fixed turns;30;party;3-7 (7);C;1;4;3.76;-0.13;12;7.6;5;Ludovic Roudy/Bruno Sautter;2018;;Marlene;2;
357;My Shelfie;end game boni/pattern building/set collection;strict clockwise;completion;30;livingroom/abstract;2-4 (2);;1;2;3.75;0.03;11;6.6;5;Matthew Dunstan/Phil Walker-Harding;2022;;bga;2;
345;My City;bingo/catch the leader/grid coverage/pattern building/tile placement;simultaneous;running out;30;city;2-4 (4);L;2;1;3.75;0.16;4;7.6;5;Reiner Knizia;2020;My City: Roll and Write;bga;2;
388;Ghosts Galore;grid coverage/network and route building/open drafting/push your luck/tile placement;strict clockwise;fixed turns;20;monster/maze;2-5 (2);;1;1;3.74;-0.23;2;6.5;5;Michael Luu;2026;;bga;5;
372;District Noir;card line/hand management/open drafting/push your luck/set collection;strict clockwise;fixed turns/sudden death;10;criminals;2;;1;2;3.73;0.0;16;7;5;Nabutake Dogen/Nao Shimamura;2016;;Calvin;2;cards
340;Hearts;hand management/trick taking;trick taker;fixed turns;20;abstract;3-8 (5);;1;2;3.69;0.06;11;6.5;5;unknown;1850;;bga;15;
436;No Thanks!;auction/push your luck/set collection;pass order;fixed turns;15;abstract;3-7 (4);;1;2;3.68;-0.06;16;7.1;5;Thorsten Gimmler;2004;;bga;5;cards/currency
440;HUTAN: Life in the Rainforest;open drafting/square grid/tile placement;claim;fixed turns;40;nature/animals;1-4 (3);;2;2;3.67;-0.25;5;7;5;Asger Harding Granerud/Daniel Skjold Pedersen;2025;;bga;4;
441;Roll Through the Ages: The Bronze Age;contracts/die icon resolution/events/paper and pencil/push your luck/re-rolling and locking/roll and write;strict clockwise;fixed turns;30;history/mesopathamia;1-4 (2);;2;1;3.66;-0.08;14;6.9;5;Matt Leacock;2008;;own;35;
374;Gravity Superstar;grid movement/hand management/modular board;strict clockwise;running out;30;abstract;2-6 (4);;1;2;3.66;0.09;2;6.6;5;Julian Allain;2018;;bga;0;0
410;Tucano;open drafting/set collection;strict clockwise;condition;15;food/fruit;2-4 (2);;1;2;3.64;-0.05;11;6.5;5;Theo Riviere;2021;;bga;3;cards
373;Abandon All Artichokes;deck, bag and pool building/open drafting;strict clockwise;race;20;food/vegetables;2-4 (4);;1;1;3.64;0.01;15;6.6;5;Emma Larkins;2020;;bga;5;cards
420;Hive;enclosure/grid movement/hex grid/pattern movement/pieces as map/three dimensional movement/tile placement;strict clockwise;;20;animals/abstract;2;;2;3;3.63;-0.04;16;7.3;5;John Yianni;2001;;bga;1;tiles
392;FLOWERS;connections/tile placement;strict clockwise;condition;20;abstract;2-4 (2);;1;2;3.63;-0.01;15;6.2;5;Paul-Henri Argiot;2024;;bga;7;tiles
385;Othello;enclosure/square grid/tile placement;strict clockwise;fixed turns;30;abstract;2;;2;4;3.62;-0.05;2;6.2;5;John W. Mollett/Lewis Waterman/Goro Hasegawa;1883;;bga;2;
394;Festival;contracts/end game boni/grid coverage/layering/market/open drafting/pattern building/square grid/tile placement;strict clockwise;condition;20;firework/abstract;2-4 (2);;1;1;3.61;-0.02;11;6.4;5;Gregory Grard;2024;;bga;;
389;Flip Freighters;end game boni/flip and write/paper and pencil/pick-up and deliver/push your luck;simultaneous;;10;trucks/abstract;1-4 (2);;1;1;3.6;-0.09;2;5.8;5;Wayne D. Koenig;2022;;bga;2;
453;Loopin' Louie;dexterity/real time;simultaneous;player elimination;5;farming;2-4 (4);;1;4;3.6;-0.08;15;6.7;5;Masaru Aoki/Carol Wiseley;1992;;diverse;40;contraption/chips
427;Tempel des Schreckens;hidden roles;player choice;fixed turns;10;adventure/temples;4-10 (10);T;1;5;3.58;-0.05;16;7.2;5;Yusuke Sato;2016;Time Bomb;uni game night;300;cards
371;Heckmeck Barbecue;push your luck;strict clockwise;running out;25;abstract;2-5 (3);;1;1;3.58;0.02;16;6.6;5;Reiner Knizia;2010;;Stefan;1;D6/tiles
398;Copenhagen;connections/contracts/grid coverage/hand management/open drafting/pattern building/set collection/square grid/tile placement;strict clockwise;race;40;copenhagen;2-4 (4);;1;1;3.56;-0.04;6;7;5;Asger Harding Granerud/Daniel Skjold Pedersen;2019;;bga;3;
378;Flip 7;push your luck/score and reset;progressive;race;20;abstract;3-8 (6);;1;2;3.52;0.03;6;7.2;5;Eric Olsen;2024;;bga;5;
433;12 Chip Trick;hand management/trick taking;trick taker;condition;20;abstract;2-4 (3);;1;2;3.45;-0.09;9;6.8;5;Root;2022;;bga;1;
413;Odin;hand management/ladder climbing;pass order;condition;15;vikings;2-6 (4);;1;2;3.43;-0.03;11;6.9;5;Yohan Goh/Hope S. Hwang/Gary Kim;2024;;bga;10;cards
387;Go Nuts for Donuts;open drafting/set collection;simultaneous;running out;30;food/abstract;4-6 (5);;1;2;3.42;0.11;2;7.1;5;;2017;;bga;7;cards
395;Timeline Twist;0;0;0;0;0;0;0;0;0;3.4;0;1;0;0;0;0;0;0;0;0
446;Activity;acting/communication limits/drawing/line drawing/paper and pencil/track movement;strict clockwise;race;45;abstract;4+ (4);;1;5;3.39;-0.06;16;5.9;5;Ulrike Catty/Paul Catty/Hans Fuhrer/Maria Fuhrer/Ernst Fuhrer;1990;;diverse;30;cards/pen/writing sheet
339;Jenga;physical removal/single loser/stacking and balancing/tower stacking;strict clockwise;destruction;10;abstract;2-4 (2);;1;2;3.38;0.06;16;5.6;5;Leslie Scott;1983;Villa Paletti;own;12;building bricks
396;Uptown;0;0;0;0;0;0;0;0;0;3.38;0;1;0;0;0;0;0;0;0;0
472;Durak;hand management/single loser/take that;strict clockwise;;10;abstract;2-6 (4);;1;4;3.37;-0.14;10;6.4;5;unknown;1800;;boardgame night;0;
312;The Crew: The Quest for Planet Nine;communication limits/hand management/scenario/trick taking;stat based;fixed turns;20;sciencefiction;2-5 (4);C;2;3;3.36;0.1;16;7.8;4;Thomas Sing;2019;;bga;3;cards/tokens
456;Lost Seas;closed drafting/tile placement;simultaneous;completion;20;ocean;2-4 (2);;1;2;3.31;-0.13;8;6.7;5;Johan Benvenuto/Alexandre Droit;2022;;bga;1;
401;Amoriax;0;0;0;0;0;0;0;0;0;3.3;0;1;0;0;0;0;0;0;0;0
443;Can't Stop;push your luck;strict clockwise;race;20;abstract;2-4 (3);;1;2;3.29;-0.05;16;6.9;5;Sid Sackson;1980;;bga;29;board/D6
464;Biomos;contracts/open drafting/pattern building;strict clockwise;fixed turns;20;abstract;1-4 (3);;1;1;3.27;-1.03;2;6.3;5;Gricha German;2023;;bga;3;
363;Qwixx;bingo/paper and pencil/roll and write;simultaneous;condition;15;abstract;2-5 (4);;1;1;3.26;0.09;9;6.9;4;Steffen Benndorf;2012;;Mika;2;
406;Choconnect;pattern building/slide/tile placement;strict clockwise;condition;10;abstract;2;;1;3;3.25;-0.02;3;5.3;5;Sandro Blasich;2024;;bga;3;
390;Butterfly;grid movement/push your luck/set collection/square grid;strict clockwise;condition;30;garden;2-4 (2);;1;3;3.25;0.23;2;6.7;4;Stephen Glenn;2019;;bga;2;
348;Abra Chadabra;push your luck/race;strict clockwise;race;15;magic tricks;2-5 (4);;1;1;3.24;0.24;5;5.9;4;Guillaume Labrousse;2025;;bga;5;
405;Cheez-Tricks;0;0;0;0;0;0;0;0;0;3.23;0;1;0;0;0;0;0;0;0;0
424;On Tour;bingo/connections/line drawing/network and route building/paper and pencil/push your luck/roll and write/simultaneous action selection;simultaneous;fixed turns;20;travelling;2+ (2);;1;1;3.22;-0.02;15;6.9;4;Chad DeShon;2019;;bga;3;D10/pens/writing sheet
458;Cribbage;hand management/score and reset;progressive;race;15;abstract;2;;1;1;3.2;-0.1;10;7.1;5;Sir John Suckling;1630;;bga;10;
364;Pixies;connections/open drafting/score and reset/set collection;pass order;completion;15;fantasycreatures;2-4 (2);;1;2;3.2;0.05;16;6.8;4;Johannes Groupy;2024;;bga;10;cards/player boards
407;Double Seven;0;0;0;0;0;0;0;0;0;3.2;0;1;0;0;0;0;0;0;0;0
408;Vegetable Stock;0;0;0;0;0;0;0;0;0;3.18;0;1;0;0;0;0;0;0;0;0
403;Bubblee Pop;pattern building;strict clockwise;condition;20;abstract;2;;1;2;3.12;0.02;11;6.2;4;Gregory Oliver;2016;;bga;0;
381;Framework;open drafting/pattern building/tile placement;strict clockwise;race;30;abstract;1-4 (2);;2;2;3.11;0.13;5;7;4;Uwe Rosenberg;2022;;bga;1;
411;Fibonachos;catch the leader/hand management/score and reset/trick taking;stat based;fixed turns;30;abstract;3-4 (4);;1;2;3.08;0.03;3;6.3;4;Chris Borges/Wanjin Gill/Thassiel Melo;2023;;bga;3;cards
347;Sounds Fishy;bluffing/player judge;simultaneous;fixed turns;30;abstract;5-10 (8);1 vs. X;1;4;3.08;0.19;7;6.8;4;Rob Piesse;2022;;uni game night;1;
414;MOW;0;0;0;0;0;0;0;0;0;3.08;0;1;0;0;0;0;0;0;0;0
409;Scratch & Catch;connections;strict clockwise;running out;20;abstract;2-6 (2);;1;1;3.06;0.04;4;6.2;4;Nicolas Boria/Fred Boulle;2025;;bga;5;
377;Lure;auction/push your luck;simultaneous;running out;15;fishing;2-5 (4);;1;2;3.0;0.17;5;6.7;4;Satoru Nakamura;2024;;bga;3;
471;Vulture Culture;auction/simultaneous action selection;simultaneous;fixed turns;20;birds/vultures/abstract;3-5 (5);;1;2;2.98;-0.42;3;6.5;5;Alex Randolph;1988;;bga;3;cards
380;Halma;grid movement/hex grid;strict clockwise;race;30;abstract;2-4 (4);;1;3;2.98;0.04;16;5.5;4;George Howard Monks;1884;;own;10;board/meeple
493;Coup;bluffing/hidden roles/memory/player elimination/take that/variable player powers;strict clockwise;player elimination;10;abstract;3-6 (4);;1;4;2.91;-0.08;16;7;4;Rikki Tahta;2012;;Thomas;3;cards/currency
426;Trek 12: Himalaya;chaining/once per game abilities/paper and pencil/roll and write;simultaneous;completion/passing;20;abstract;1-7 (4);;1;1;2.9;-0.0;11;6.8;4;Bruno Cathala/Corentin Lebrat;2020;;bga;3;
419;Scrabble;end game boni/hand management/spelling/square grid/tile placement;strict clockwise;running out/passing;60;abstract;2-4 (4);;1;2;2.88;0.01;16;6.3;4;Alfred Mosher Butts;1948;;own;20;board/tiles
428;TomaToss;0;0;0;0;0;0;0;0;0;2.85;0;1;0;0;0;0;0;0;0;0
452;LUZ;deduction/trick taking;stat based;fixed turns;30;abstract;3-5 (4);;2;2;2.84;-0.13;4;7.1;4;Taiki Shinzawa;2024;;bga;3;
